,week,libelle,store,moyenne_demande,ecart_type_demande,somme,stock_de_securite,durée_conservation,Categorie,Sous-Categorie,piece,kg,reappro,stock
33,2022-01-03,CELERI BRANCHE,GAMBETTA,0.665,0.3464823227814083,1.33,0.5716958325893237,14,Légumes,Celeri,,0.27,7.0,3.840064998603366
34,2022-01-03,CELERI BRANCHE,GRENELLE,3.14,1.31701683107443,21.98,2.1730777712728093,14,Légumes,Celeri,,0.27,7.0,16.739423362390355
35,2022-01-03,CELERI BRANCHE,ST OUEN,1.0957142857142856,0.6016326992126547,7.67,0.9926939537008802,14,Légumes,Celeri,,0.27,7.0,6.461421329489996
36,2022-01-03,CELERI BRANCHE COUPE PIECE,GAMBETTA,2.6999999999999997,1.797220075561143,18.9,2.9654131246758855,14,Légumes,Celeri,1.0,,7.0,17.295745662459368
37,2022-01-03,CELERI BRANCHE COUPE PIECE,GRENELLE,2.8,,2.8,,14,Légumes,Celeri,1.0,,7.0,
38,2022-01-03,CELERI BRANCHE COUPE PIECE,ST OUEN,3.0,,3.0,,14,Légumes,Celeri,1.0,,7.0,
39,2022-01-03,CELERI RAVE,GRENELLE,1.9240000000000002,0.5950462166924516,9.620000000000001,0.9818262575425452,14,Légumes,Celeri,,0.78,7.0,9.331668108130831
40,2022-01-03,CELERI RAVE,ST OUEN,1.3325,0.5773719194187861,5.33,0.9526636670409969,14,Légumes,Celeri,,0.78,7.0,7.1842611460773185
41,2022-01-03,CHOU BROCOLI,GAMBETTA,3.9971428571428573,1.384048581586093,27.98,2.2836801596170533,20,Légumes,Chou,,3.36,10.0,27.207345037441055
42,2022-01-03,CHOU BROCOLI,GRENELLE,10.354999999999999,1.782343962314794,62.129999999999995,2.9408675378194102,20,Légumes,Chou,,3.36,10.0,61.0748397163607
43,2022-01-03,CHOU BROCOLI,MONTORGUEIL,5.311428571428571,1.9733848127133289,37.18,3.2560849409769923,20,Légumes,Chou,,3.36,10.0,36.85378752560508
